Cod CIM,Denumire comerciala,DCI,Forma farmaceutica,Concentratie,Firma / tara producatoare APP,Firma / tara detinatoare APP,Cod ATC,Actiune terapeutica,Prescriptie,Nr / data ambalaj APP,Ambalaj,Volum ambalaj,Valabilitate ambalaj,Bulina,Diez,Stea,Triunghi,Dreptunghi,Data actualizare
W55502007,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/07,Cutie cu 50 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502008,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/08,Cutie cu 60 flac. PEJD (KabiPac) x 50 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502009,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/09,Cutie cu 1 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502010,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/10,Cutie cu 10 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502011,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/11,Cutie cu 20 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502012,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/12,Cutie cu 25 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502013,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/13,Cutie cu 30 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502014,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/14,Cutie cu 40 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502015,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/15,Cutie cu 50 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502016,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/16,Cutie cu 60 flac. PEJD (KabiPac) x 100 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502017,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/17,Cutie cu 1 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502018,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/18,Cutie cu 10 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502019,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/19,Cutie cu 20 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502020,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/20,Cutie cu 25 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502021,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/21,Cutie cu 30 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502022,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/22,Cutie cu 40 flac. PEJD (KabiPac) x 200 ml sol. perf.,,3 ani,,,,,,06.03.26
W55502023,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/23,Cutie cu o punga  din poliolefina(freeflex) x 50 ml sol. perf.,,2 ani,,,,,,06.03.26
W55502024,FLUCONAZOL KABI 2 mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,FRESENIUS KABI POLSKA SP. Z O.O - POLONIA,FRESENIUS KABI ROMANIA S.R.L. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,11339/2019/24,Cutie cu 10 pungi  din poliolefina(freeflex) x 50 ml sol. perf.,,2 ani,,,,,,06.03.26
